,patrimonio_humanidad_id,patrimonio_humanidad_nombre,patrimonio_humanidad_ano_inscripcion,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,22,Pinturas Rupestres de la Sierra de San Francisco,1993,http://www.patrimonio-mexico.inah.gob.mx/,,0.0,0.0,3,2,1,Baja California Sur,Mulegé,Santa Rosalía,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=22,2010-11-09T14:25:40-06:00
1,18,Santuario de Ballenas en Lagunas de Vizcaíno ,1993,http://www.patrimonio-mexico.inah.gob.mx/,,27.79222,-114.22778,3,2,66,Baja California Sur,Mulegé,Guerrero Negro,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=18,2016-08-23T18:30:42-05:00
2,24,Islas y Áreas protegidas del Golfo de California ,2005,http://www.patrimonio-mexico.inah.gob.mx/,,26.10551,-110.60736,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=24,2021-03-31T09:07:29-06:00
3,20,"Zonas de Monumentos Históricos, Ciudad Fortificada de Campeche ",1999,http://www.patrimonio-mexico.inah.gob.mx/,,0.0,0.0,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=20,2017-03-16T11:17:16-06:00
4,19,Antigua Ciudad Maya y los bosques tropicales protegidos de Calakmul,2002,http://www.patrimonio-mexico.inah.gob.mx/,,18.10884,-89.80499,4,10,0,Campeche,Calakmul,,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=19,2014-06-26T17:30:29-05:00
5,39,Archipiélago de Revillagigedo,2016,http://whc.unesco.org/en/list/1510,,19.05182,-110.88504,6,0,0,Colima,,,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=39,2016-11-23T13:07:23-06:00
6,14,Ciudad Prehispánica y Parque Nacional de Palenque,1987,http://www.patrimonio-mexico.inah.gob.mx/,,17.48397,-92.04685,7,65,308,Chiapas,Palenque,Ejido Palenque,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=14,2016-02-11T22:05:25-06:00
7,15,Zona de Monumentos Arqueológicos de Paquimé,1998,http://www.patrimonio-mexico.inah.gob.mx/,,0.0,0.0,8,13,1,Chihuahua,Casas Grandes,Casas Grandes,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=15,2010-07-27T13:22:44-05:00
8,31,Campus Central de Ciudad Universitaria de la UNAM ,2007,http://whc.unesco.org/en/list/1250,,0.0,0.0,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=31,2015-07-06T11:43:21-05:00
9,16,Centro Histórico de la Ciudad de México y Xochimilco,1987,http://www.patrimonio-mexico.inah.gob.mx/,,0.0,0.0,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=16,2010-11-09T16:10:31-06:00
10,25,Casa y Estudio de Luis Barragán,2004,http://www.casaluisbarragan.org,casabarragan@prodigy.net.mx,0.0,0.0,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=25,2010-07-27T13:41:21-05:00
11,34,Villa Protectora de San Miguel el Grande y el Santuario de Jesús Nazareno de Atotonilco,2008,http://www.patrimonio-mexico.inah.gob.mx/index.php,,21.00509,-100.79414,11,3,1,Guanajuato,San Miguel de Allende,San Miguel de Allende,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=34,2017-10-25T16:11:32-05:00
12,36,Camino Real de Tierra Adentro,2010,http://www.patrimonio-mexico.inah.gob.mx/,,0.0,0.0,11,15,0,Guanajuato,Guanajuato,,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=36,2017-10-25T15:08:16-05:00
